spot,location,spectra,mineralogy,C_concentration,O_concentration,Mg_concentration,Si_concentration,S_concentration,Mn_concentration,Co_concentration,Ni_concentration,Zn_concentration,Ag_concentration,Al_concentration,Ca_concentration,Na_concentration,K_concentration,Ti_concentration,Fe_concentration,In_concentration,W_concentration,Ir_concentration,Cr_concentration,U_concentration,Sr_concentration,La_concentration,Nd_concentration,Pr_concentration,P_concentration,N_concentration,Zr_concentration,Yb_concentration,I_concentration,Br_concentration,Ta_concentration,Cl_concentration,Te_concentration,F_concentration,Ar_concentration,C_wtper,O_wtper,Mg_wtper,Si_wtper,S_wtper,Mn_wtper,Co_wtper,Ni_wtper,Zn_wtper,Ag_wtper,Al_wtper,Ca_wtper,Na_wtper,K_wtper,Ti_wtper,Fe_wtper,In_wtper,W_wtper,Ir_wtper,Cr_wtper,U_wtper,Sr_wtper,La_wtper,Nd_wtper,Pr_wtper,P_wtper,N_wtper,Zr_wtper,Yb_wtper,I_wtper,Br_wtper,Ta_wtper,Cl_wtper,Te_wtper,F_wtper,Ar_wtper
9,1,12,epoxy,5.46,0.58,0.01,0.11,0.09,0,0,0,0.01,38.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.85,2.74,0.02,0.2,0.15,0,0,0,0.03,80.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,13,epoxy,12.29,13.72,0.03,0.71,0.36,0,0,0.02,0.03,16.76,12.21,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.38,25.02,0.03,0.78,0.38,0,0,0.02,0.06,22.39,12.75,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,14,epoxy,3.51,1.13,0,0.06,0.19,0,0,0,0.01,66.39,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,3.53,0,0.07,0.2,0,0,0,0.03,88.6,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,15,dark_seds,3.85,14.85,0.4,9.34,1.62,0,0.04,0.02,0,0,6.57,0.56,0.14,1.97,0.11,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.65,32,0.6,14.43,2.7,0,0.07,0.04,0,0,9.51,0.87,0.17,3,0.2,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,16,dark_seds,0.41,1.54,0.15,4.85,0.18,0.01,0.02,0.02,0.01,0.08,3.09,0.53,0,1.28,0.13,1.64,0.12,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.77,12.78,0.79,26.99,1.1,0.06,0.11,0.1,0.05,0.62,15.43,2.9,0,6.78,0.82,10.25,0.79,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,17,dark_seds,8.67,17.9,0.41,6.98,2.63,0,0.03,0.05,0.01,0,4.94,2.57,0.2,0.89,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.59,32.2,0.48,8.12,3.23,0,0.04,0.07,0.02,0,5.61,3.04,0.2,1.03,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,18,med_seds,0.45,1.22,0.16,6.22,0.51,0,0.01,0.01,0.01,0.11,2.98,1.07,0,1.15,0.19,1.33,0,0.22,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,10,0.74,30.33,2.88,0,0.05,0.08,0.09,0.71,13.17,5.32,0,5.59,1.13,7.59,0,1.53,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,19,med_seds,3.38,25.88,0.57,13.34,1.03,0,0.02,0.01,0,0.33,7.45,0.64,0.15,0.95,0,1.27,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.03,39.63,0.72,17.18,1.44,0,0.03,0.01,0,0.56,9.1,0.82,0.16,1.19,0,1.95,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,20,med_seds,7.2,52.86,0.28,11.24,0,0,0.03,0.01,0,0,9.86,2.26,0.6,0,0,0.5,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.25,49.88,0.26,10.06,0,0,0.03,0.01,0,0,8.46,1.96,0.47,0,0,0.53,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,21,dark_seds,15.05,3.99,0.12,0.55,4.93,0,0,0,0.01,0,0.3,0.61,0.07,0.13,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.78,13.52,0.18,0.8,7.69,0,0.01,0,0.03,0,0.44,0.99,0.09,0.2,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,22,dark_seds,18.7,5.93,0.07,0.5,4.17,0,0.03,0.01,0.01,0,0.42,0.89,0.07,0.08,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.89,17.23,0.1,0.66,5.83,0,0.06,0.02,0.02,0,0.57,1.28,0.08,0.11,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,23,dark_seds,22.99,6.28,0.04,0.19,3.53,0,0.02,0,0.01,0.43,0.22,2.41,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.31,17.31,0.06,0.23,4.56,0,0.03,0,0.03,0.73,0.28,3.19,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,24,med_seds,0.42,8.27,0.03,7.98,0.29,0.01,0.01,0,0.02,0,9.1,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.56,29.58,0.08,27.93,1.13,0.03,0.06,0,0.1,0,25.48,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,25,med_seds,5.27,15.17,0.34,11.37,1.57,0,0,0,0.01,0.21,5.76,0.46,0.15,0.65,0.1,0.66,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.97,30.26,0.46,15.37,2.33,0.01,0,0,0.04,0.4,7.41,0.63,0.17,0.88,0.17,1.1,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5,26,med_seds,6.29,10.01,0.31,6.89,1.56,0,0,0.03,0,0.19,5.03,0.4,0.14,0.88,0.06,0.69,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.15,25.6,0.48,10.9,2.64,0,0,0.06,0,0.41,7.56,0.65,0.19,1.39,0.11,1.36,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,27,epoxy,5.94,4.22,0.01,0.46,0.34,0,0,0,0.01,27.02,3.09,0,0,0,0,0,0.3,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,14.93,0.01,0.79,0.54,0,0,0,0.05,53.8,5.56,0,0,0,0,0,0.55,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,28,epoxy,3.69,0.91,0,0.17,0.31,0,0,0,0,60.51,0.25,0,0,0,0,0,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,3.04,0,0.23,0.36,0,0,0,0,87.26,0.37,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,29,epoxy,2.05,0.61,0,0.09,0,0.03,0,0.01,0,17.79,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,5.93,0.01,0.35,0,0.14,0,0.03,0.02,78.88,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,30,mz84_seds,27.01,6.33,0.05,0.03,3.89,0,0,0.03,0,0,0.05,0.51,0.11,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.03,16.21,0.06,0.04,4.69,0,0,0.04,0,0,0.06,0.63,0.11,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,31,mz84_seds,26.24,4.19,0.06,0.12,4.38,0,0,0.03,0,0,0.09,0.67,0.1,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.42,11.66,0.07,0.14,5.4,0,0.01,0.05,0,0,0.1,0.86,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,32,mz84_seds,19.51,6.38,0.04,0.07,5.63,0,0.02,0.02,0,0,0.05,0.54,0.09,0.06,0,1.41,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,73.26,16.2,0.05,0.09,6.99,0,0.04,0.03,0,0,0.07,0.69,0.09,0.08,0,2.23,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,33,mz84_seds,22.66,7.4,0.06,0.86,5.66,0,0.01,0,0.01,0,0.14,0.62,0,0,0,1.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.45,16.57,0.06,0.9,6.22,0,0.01,0,0.02,0,0.15,0.69,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,34,mz84_seds,20.39,6.95,0.13,2,4.71,0,0,0.02,0.02,0,1.32,1.06,0.05,0.23,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.22,16.45,0.14,2.18,5.46,0,0,0.03,0.05,0,1.44,1.25,0.05,0.26,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,35,mz84_seds,0.54,0.9,0.4,3.63,0.73,0.01,0.03,0,0,0.2,1.88,1.43,0,0.84,0.04,5.05,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.29,6.35,2.17,18.32,3.84,0.04,0.17,0,0.01,1.24,9.38,6.65,0,3.83,0.23,27.35,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,36,med_seds,2.29,68.04,0.05,33.39,0,0.01,0.01,0,0.07,0,0.92,0,0.56,0,0,0.13,0,0,0,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,14.12,55.38,0.05,28.65,0,0.02,0.01,0,0.14,0,0.81,0,0.45,0,0,0.14,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0
9,9,37,med_seds,0.19,1.11,0.08,6.8,0.17,0,0,0,0.01,0.26,1.85,0.18,0,0.57,0.07,0.77,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.32,11.64,0.53,45.19,1.41,0.01,0,0,0.1,2.5,11.18,1.28,0,3.93,0.61,6.17,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,38,med_seds,1.82,31.27,0.62,12.86,0,0.01,0.04,0.01,0.01,0,9.51,0.3,0.28,1.54,0.12,1.31,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,16.91,44.93,0.88,18.8,0,0.02,0.06,0.02,0.04,0,12.78,0.42,0.34,2.12,0.2,2.19,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
9,10,39,epoxy,3.54,0.79,0,0.1,0.14,0,0,0,0,32.29,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.64,4.43,0,0.23,0.28,0,0,0,0,81.14,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,40,epoxy,9.49,1.44,0,0.13,0.24,0,0.04,0.04,0,38.8,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,5.45,0,0.19,0.34,0,0.07,0.06,0,69.22,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,41,epoxy,17.21,2.66,0,0.18,0.24,0,0,0,0,30.75,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.24,8.57,0,0.25,0.31,0,0,0,0.02,51.02,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,11,42,dark_seds,12.33,5.63,0.1,1.38,4.64,0,0.01,0.02,0.01,0.17,1.25,0.77,0.06,0.19,0,0.23,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,68.49,17.53,0.16,2.03,7.24,0,0.03,0.05,0.04,0.36,1.83,1.23,0.07,0.3,0,0.44,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
9,11,43,dark_seds,4.41,1.65,0.03,3.32,2.98,0,0,0,0.02,0.11,0.17,0.64,0,0.06,0,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.6,10.59,0.09,9.2,9.25,0,0.02,0.02,0.1,0.45,0.47,2,0,0.18,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,11,44,dark_seds,13.33,9.92,0.29,5.41,2.32,0,0.02,0,0.02,0.15,3.06,1.14,0.05,0.55,0.08,0.67,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,60.29,22.22,0.36,6.48,2.98,0,0.03,0,0.05,0.26,3.61,1.43,0.05,0.68,0.12,1.04,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0,0,0,0,0
9,12,45,dark_seds,14,3.28,0.05,0.09,5.76,0,0,0.04,0.01,0,0.08,1.09,0,0.05,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.03,11.6,0.08,0.13,9.11,0,0,0.08,0.02,0,0.12,1.79,0,0.08,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,46,dark_seds,15.63,5.53,0.05,0.42,4.56,0,0.01,0.01,0.03,0,1.59,1.48,0,0.05,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.41,16.59,0.07,0.57,6.57,0,0.02,0.01,0.09,0,2.18,2.18,0,0.07,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,12,47,dark_seds,22.18,4.83,0.05,0.47,5.2,0,0.03,0,0.02,0,0.39,0.73,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.98,12.94,0.06,0.55,6.38,0,0.05,0,0.04,0,0.45,0.92,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,48,mz84_seds,33.24,4.62,0.03,0.8,0.22,0,0.05,0,0.02,9,0.4,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.08,12.88,0.05,0.98,0.28,0.01,0.08,0,0.06,14.85,0.5,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,13,49,mz84_seds,26.88,8.18,0.09,2.41,0.2,0.01,0,0,0.03,4.47,2.18,0.08,0,0.57,0.05,0.24,0,0,0,0,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,65.84,18.83,0.1,2.69,0.23,0.01,0,0,0.07,6.73,2.44,0.09,0,0.65,0.08,0.34,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0
9,13,50,mz84_seds,34.12,5.74,0.08,1.43,2,0,0.06,0,0.03,2.03,0.64,0.65,0,0.15,0,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.56,12.68,0.08,1.42,2.09,0.01,0.08,0,0.07,2.79,0.65,0.69,0,0.15,0,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
